DC_CODE,DC_NAME,DC_TYPE,FACILITY_TYPE,ADDRESS,URL_GMAPS,AREA_SQM,AREA_LAHAN,AREA_GUDANG,REGION_OPERATION,OWNERSHIP_STATUS,END_CONTRACT_PERIOD,LAT,LONG,SHELVE_TOTAL,PALLET_TOTAL,QTY_MAX_CAPACITY,ADDRESS_ODOO,DISTRICT_NAME,CITY_NAME,STATE_NAME,POSTAL_CODE,COUNTRY_NAME,SJB_CLUSTER_NAME,SALES_CLUSTER_NAME,REGION_OPERATION_NAME,CREATE_TIMESTAMP
D68,DC ECOMMERCE PADANG,DC,FC,ACTIVE,"Jl. Bandar Purus, No 88 Rt002, Rw003, Padang Pasir, Padang Barat, Padang, Sumatera Barat",https://maps.app.goo.gl/VNmdcLAq57nqSf4X9,,,,Lease,,"-0,935","100,359",35975,12,,,,,,,"21 Sep, 2025, 10:15",v,,#DIV/0!,11
D54,DC ECOMMERCE JAKARTA 1,DC,FC,ACTIVE,"Jalan Rumah Sakit Fatmawati, RT 005 RW 09 - Blok A nomor 1. E. Propinsi Daerah Khusus Ibukota Jakarta, KotaMadya Jakarta Selatan, Kecamatan Cilandak, Kelurahan Cilandak Barat",https://maps.app.goo.gl/4dEd83FKX2D5jQ5t9?g_st=ac,,,,Lease,12/02/2026,"-6,302","106,795",,37,,CILANDAK,JAKARTA SELATAN,DKI JAKARTA,,,"17 Feb, 2025, 09:53",v,instant delivery fatmawati,#DIV/0!,0
D09,DC BOGOR,DC,DC,ACTIVE,"Komplek Pergudangan NAS Warehouse 3M, Gudang I Jalan Raya Jakarta Bogor KM 41.2, Pabuaran, Cibinong Jawa Barat 16916",https://maps.app.goo.gl/6s9vVc6vbnNR3wPZ8,,,,Lease,14/01/2027,-6.6,"106,82",1034656,296,,CIBINONG,BOGOR,JAWA BARAT,,,"2 Oct, 2018, 02:20",v,,"381,229182",296
D10,DC CIREBON,RDC,DC,ACTIVE,"Kantor DC : Komplek kantor PT. Wicaksana Jalan Ir Soekarno Blok Tutugan Rt 003/ RW 004 Desa Ciperna, Kecamatan Talun, Kabupaten Cirebon",https://maps.app.goo.gl/myBKo9G19Gv2prKS6,,1450,,Lease,02/01/2026,-6.71,"108,56",648732,218,,TALUN,CIREBON,JAWA BARAT,,,"2 Oct, 2018, 02:20",v,,"642,3089109",186
D42,DC ECOMMERCE TEGAL,DC,FC,ACTIVE,"Jl. Mataram No.10, Kel Muarareja, Kec. Tegal Barat, Kota Tegal, Jawa Tengah 52117 E-Commerce Tegal (Gd 1-7)",,,,,Lease,20/09/2027,-6.85,"109,11",,868,,TEGAL BARAT,TEGAL,JAWA TENGAH,,,"14 Feb, 2021, 13:08",v,,#DIV/0!,0
D04,DC BANDUNG,RDC,DC,ACTIVE,"Jl. Mengger sebrang (gudang ninja express No.121), Sukapura, Kec. Dayeuhkolot, Kabupaten Bandung, Jawa Barat 40267",https://goo.gl/maps/jHYT1QEvuRy8C1G58,,2773,,Lease,31/07/2026,-6.91,"107,61",953456,293,,DAYEUHKOLOT,BANDUNG,JAWA BARAT,,,"2 Oct, 2018, 02:19",v,,"588,5530864",273
D35,DC SUKABUMI,DC,DC,ACTIVE,"Jl. Sejahtera, RT 002, RW 020. dayeuhluhur, Kec. Warudoyong, Sukabumi Regency, Jawa barat 43134",https://maps.app.goo.gl/RKvizstPPhghCdAu5,,1867,,Lease,14/11/2027,-6.92,"106,93",426412,122,,WARUDOYONG,SUKABUMI,JAWA BARAT,,,"16 Apr, 2019, 03:11",v,,"484,5590909",122
D23,DC SEMARANG,DC,DC,ACTIVE,"Kantor DC : Kawasan Industri Candi, Jalan gatot subroto, tahap V blok A3 no 30, Ngaliyan, Semarang",https://maps.app.goo.gl/QhZ8u1qkfUQPMKjy8,,2000,,Lease,18/10/2027,-6.99,"110,42",838992,240,,NGALIYAN,SEMARANG,JAWA TENGAH,,,"2 Oct, 2018, 02:20",v,,"649,374613",240
D26,DC SURABAYA,DC,DC,ACTIVE,"Eks Kantor Bentoel Group ASMO Surabaya Jl. Berbek Industri VII No.6B-C, Kepuhkiriman, Waru, Sidoarjo",https://goo.gl/maps/vfbySHv64fB6xY4r9,,6090,,Own,,-7.25,"112,74",639436,183,,WARU,SIDOARJO,JAWA TIMUR,,,"2 Oct, 2018, 02:20",v,,"999,11875",183
D27,DC TASIKMALAYA,DC,DC,ACTIVE,"Jl. Mangkubumi-Indihiang (Blok Cirapuh, Nangkerok, dan Wangkelang), Kp. Sukmamaju, RT. 004, RW 016, Kelurahan Sukamaju Kidul, Kecamatan Indihiang, Tasikmalaya, Jawa Barat, 46151 Gmaps : https://goo.gl/maps/t4ZYEA16Q7VPWv7f8",https://maps.app.goo.gl/GuB6BLMnu3zco81CA,,1650,,Lease,01/01/2028,-7.33,"108,20",535584,154,,INDIHIANG,TASIKMALAYA,JAWA BARAT,,,"2 Oct, 2018, 02:20",v,,"510,08",154
D21,DC PURWOKERTO,DC,DC,ACTIVE,Jalan Sultan Agung RT 003 RW 002 No.28 Desa Karangrau Sokaraja Kecamatan Sokaraja Kabupaten Banyumas 53181,https://maps.app.goo.gl/XitqixZRJX7tr9ZbA,,1050,,Lease,31/10/2025,-7.42,"109,23",456960,131,,SOKARAJA,BANYUMAS,JAWA TENGAH,,,"2 Oct, 2018, 02:20",v,,"652,8",131
D28,DC PADANG,DC,DC,INACTIVE,"Jalan Rambun Bulan No.10, Kampung Lapai, Nanggalo, Padang City, West Sumatra 25173",,,,,Lease,,"-0,91","100,36",,,,NANGGALO,PADANG,SUMATRA BARAT,,,"2 Oct, 2018, 02:20",x,take out (the DC in bukittinggi),#DIV/0!,0
M01,CENTRAL WAREHOUSE-MY,DC,DC,INACTIVE,"Lot Unit 8, No.2, Jalan Tun Teja 2Perdana Industrial Park",,,,,Lease,,"3,04","101,45",,,,,,,,,"27 Apr, 2021, 07:55",x,take out,#DIV/0!,0
D53,DC ECOMMERCE MEDAN,DC,FC,ACTIVE,"Jl. Pelita IV No.25, Tj. Morawa B, Kec. Tj. Morawa, Kabupaten Deli Serdang, Sumatera Utara 20362",https://maps.app.goo.gl/7EtoMLzj4FP15iiw8,,,,Lease,01/11/2027,"3,54","98,81",,70,,TANJUNG MORAWA,DELI SERDANG,SUMATRA UTARA,,,"18 Nov, 2024, 03:04",v,,#DIV/0!,0
D50,DC ECOMMERCE BANTEN,DC,FC,ACTIVE,"Modern Cikande Industrial Estate No. 12-14 Jl. Raya Jakarta-Serang Km. 68 Cikande, Nambo Ilir, Kec. Kibin, Kabupaten Serang, Banten 42186",,,,,Lease,,"-6,18","106,34",,13,,,,,,,"9 Aug, 2024, 06:37",v,,#DIV/0!,0
D64,DC ECOMMERCE BANGKA,DC,FC,ACTIVE,"Pergudangan Asun, Jalan Minfo Gang Sma 1, Kel. Beluluk, Kec. Pangkalan Baru, Bangka Tengah, Bangka Belitung",https://maps.app.goo.gl/mzfXmiBZy63HAQN99,,,,Lease,,"-2,18","106,15",2257,2,,,,,,,"7 Sep, 2025, 10:36",v,,#DIV/0!,1
D62,DC ECOMMERCE TANJUNG PINANG,DC,FC,ACTIVE,"Komplek Metro Industrial Park Km 7 Jalan Kijang Lama Blok D Nomor 11-12, Kelurahan Melayu Kota, Kec Tanjung Pinang Timur, Kota Tanjung Pinang, Kep. Riau",https://maps.app.goo.gl/529yB4k78kniVLkv8,,,,Lease,,0.92,104.48821,8071,4,,,,,,,"26 Aug, 2025, 11:34",v,,#DIV/0!,3
D65,DC ECOMMERCE BENGKULU,DC,FC,ACTIVE,"Jl. Semangka Raya No.49, Lkr. Tim., Kec. Singaran Pati, Kota Bengkulu, Bengkulu",https://share.google/7s4NT7QblgXwKm5Ze,,,,Lease,,-3.81493,102.29843,2174,1,,,,,,,"7 Sep, 2025, 10:42",v,,#DIV/0!,1
D59,DC ECOMMERCE LAMPUNG,DC,FC,ACTIVE,"Jl Tembesu No 6 No. 2, Campang Raya, Kec Sukabumi, Kota Bandar Lampung, Lampung",https://share.google/mfz6Eztk49C7S6u5g,,,,Lease,,-5.41340,105.30595,5722,3,,,,,,,"26 Aug, 2025, 11:13",v,,#DIV/0!,2
D61,DC ECOMMERCE ACEH,DC,FC,ACTIVE,"Jalan Bandara Sim Gampong Pasie Lamgarot, Kecamatan Ingin Jaya Kabupaten Aceh Besar",https://maps.app.goo.gl/WjsaMsDcADsyNH2DA,,,,Lease,,5.51371,95.37543,8114,3,,,,,,,"26 Aug, 2025, 11:27",v,,#DIV/0!,3
D60,DC ECOMMERCE JAMBI,DC,FC,ACTIVE,"Komplek Pergudangan Jambi Trade Center Blok B4, Jalan Lingkar Selatan I, Kel. Kenali Asam Bawah, Kec. Kota Baru, Kota Jambi, Jambi",https://maps.app.goo.gl/r6L214qAL72tki7r8,,,,Lease,,-1.67544,103.61662,3360,3,,,,,,,"26 Aug, 2025, 11:20",v,,#DIV/0!,1
D63,DC ECOMMERCE SAMARINDA,DC,FC,ACTIVE,"Jl. P. Suryanata, Komplek Samarinda Central Bizpark No. 2B-2C, Kel. Bukit Pinang, Kec. Samarinda Ulu, Samarinda, Kalimantan Timur",https://maps.app.goo.gl/8wZC33Sq8EqYGm7U8,,,,Lease,,-0.45390,117.11378,39606,15,,,,,,,"7 Sep, 2025, 10:31",v,,#DIV/0!,12
D47,DC TIKTOK TEGAL,DC,FC,INACTIVE,"Jl. Mataram No.10, Kel Muarareja, Kec. Tegal Barat, Kota Tegal, Jawa Tengah 52117 E-Commerce Tegal (Gd 1-7)",,,,,Lease,,"-6,85","109,11",,,,,,,,,"18 Jul, 2023, 06:44",x,take out,#DIV/0!,0
D55,DC ECOMMERCE MATARAM,DC,FC,ACTIVE,"Jl Tgh Lopan No 8 Dasan Cemen, Kecamatan Sandubaya, Kota Mataram, Nusa Tenggara Barat",https://maps.app.goo.gl/VWtzzgDeAUzFCg857,,,,Lease,,-8.63251,116.12523,7769,3,,,,,,,"19 Aug, 2025, 13:14",v,,#DIV/0!,3
D49,DC ECOMMERCE BEKASI,DC,FC,ACTIVE,"Jl. Raya Setu-Serang, Telajung, Kec. Cikarang Barat, Kabupaten Bekasi, Jawa Barat",,,,,Lease,,-6.33793,107.04429,,44,,,,,,,"7 Aug, 2024, 09:49",v,,#DIV/0!,0
D57,DC ECOMMERCE KENDARI,DC,FC,ACTIVE,"Jl Malik Raya No 45, Korumba, Kec. Mandonga, Kota Kendari, Sulawesi Tenggara",https://maps.app.goo.gl/zk6QSD5PmqeJfq5K7?g_st=awb,,,,Lease,,-3.97235,122.52401,2752,2,,,,,,,"19 Aug, 2025, 13:28",v,,#DIV/0!,1
M05,DC ECOMMERCE SHAH ALAM,DC,FC,ACTIVE,"Mapletree Logistics Hub � Jubli Shah Alam, Lot 38271, Persiaran Jubli Perak, Seksyen 22, 40300 Shah Alam, Selangor. First Floor, Unit 2.6",,,,,Lease,,3.05173,101.54868,,53,,,,,,,"28 Jul, 2025, 03:30",v,,#DIV/0!,0
D56,DC ECOMMERCE RANTAUPRAPAT,DC,FC,ACTIVE,"Pergudangan Kusuma, Sirandorung, Kec. Rantau Utara, Kab. Labuhanbatu, Sumatera Utara",https://maps.app.goo.gl/TAzPu8eKYa7tJcGG7,,,,Lease,,2.25964,99.82943,7198,3,,,,,,,"19 Aug, 2025, 13:21",v,,#DIV/0!,3
D39,DC AMBON,DC,DC,ACTIVE,"Jl. Laksdya Leo Wattimena no. 50, Kompleks Pergudangan Mars no. D-3, Negeri Lama, Kecamatan Baguala, Kota Ambon, Maluku",https://maps.app.goo.gl/fdAwHSkAwd8YmYM28,,580,,Lease,09/09/2027,-3.72,"128,20",230832,66,,BAGUALA,AMBON,MALUKU,,,"15 Aug, 2019, 09:35",v,,"641,2",66
D33,DC BENGKULU,DC,DC,ACTIVE,"Jalan Semangka Raya No. 49, Kel. Panorama, Kec. Singaran Pati, Kota Bengkulu 38226",https://maps.app.goo.gl/YNvT9PJorRqSvTux5,,575,,Lease,31/07/2026,-3.8,"102,27",248976,72,,SINGARAN PATI,BENGKULU,BENGKULU,,,"16 Apr, 2019, 03:10",v,,"685,8842975",72
D40,DC KENDARI,DC,DC,ACTIVE,"Jalan Malik Raya No. 45, Kelurahan Korumba, Kecamatan Mandonga, Kota Kendari 93111 (Depan Gedung Graha Pena, Masuk Gerbang warna Hijau lalu Belok Kiri)",https://maps.app.goo.gl/is4Tz7fpYCXarL9N9,,1382,,Lease,01/08/2026,-3.95,"122,50",326760,97,,MANDONGA,KENDARI,SULAWESI TENGGARA,,,"19 Aug, 2019, 09:14",v,,"544,6",94
D52,DC ECOMMERCE MAKASSAR,DC,FC,ACTIVE,"Kawasan Industri Makassar, Jl. Kima 10 No.Kav. A6, Daya, Kec. Biringkanaya, Kota Makassar, Sulawesi Selatan 90241",,,,,Lease,12/12/2025,-5.11,"119,50",,70,,BIRINGKANAYA,MAKASSAR,SULAWESI SELATAN,,,"14 Oct, 2024, 06:50",v,,#DIV/0!,0
D17,DC MAKASSAR,RDC,DC,ACTIVE,"Jl. Kima 10 Kawasan Industri Makassar No. Gudang 9B - 9D, Daya, Kec. Biringkanaya, Kota Makassar, Sulawesi Selatan 90241",https://maps.app.goo.gl/sZXFDaSDCbcfSDq77,,6542,,Lease,14/07/2028,-5.14,"119,42",2522548,721,,BIRINGKANAYA,MAKASSAR,SULAWESI SELATAN,,,"2 Oct, 2018, 02:20",v,,"596,0652174",721
