DC_CODE,DC_NAME,DC_TYPE,FACILITY_TYPE,ADDRESS,URL_GMAPS,AREA_SQM,AREA_LAHAN,AREA_GUDANG,REGION_OPERATION,OWNERSHIP_STATUS,END_CONTRACT_PERIOD,LAT,LONG,SHELVE_TOTAL,PALLET_TOTAL,QTY_MAX_CAPACITY,ADDRESS_ODOO,DISTRICT_NAME,CITY_NAME,STATE_NAME,POSTAL_CODE,COUNTRY_NAME,SJB_CLUSTER_NAME,SALES_CLUSTER_NAME,REGION_OPERATION_NAME,CREATE_TIMESTAMP
DEPO13,Depo Madura pamekasan - DC Surabaya,DEPO,DEPO,ACTIVE,"Jl. Raya Larangan No.66, Nigara, Buddagan, Kec. Pademawu, Kabupaten Pamekasan, Jawa Timur 69323",https://maps.app.goo.gl/8LRGo4j9gyWSE6P97,,,,Lease,30/09/2025,"-7,15","113,51",,,,,,,,,,v,,#DIV/0!,0
SMO01,SMO Bekasi,SMO,SMO,,"Grand Business Park GB 1 Nomor 53 Lake Boulevard, Jl. Celebration Boulevard, Lambangsari, Kec. Tambun Sel., Kabupaten Bekasi, Jawa Barat 17510 Grand Wisata",https://maps.app.goo.gl/R3KGskfYLCg1Gz2h9,,,,Lease,30/09/2027,"-6,30","107,04",,,,,,,,,,x,take out,#DIV/0!,0
SMO02,SMO Jakarta - DC Banten,SMO,SMO,,"Jl. Palem VIII No. 47, Petukangan Selatan, Pesanggrahan, Jakarta Selatan",,,,,Own,,"-6,22","106,76",,,,,,,,,,x,take out,#DIV/0!,0
SMO03,SMO Jogja - DC Solo,SMO,SMO,,"Jalan parangtritis no 163B, Mergangsan, Brontokusuman, Yogyakarta 55153",https://maps.app.goo.gl/UM9dwcLzJcubKPud7,,,,Lease,01/07/2027,"-7,83","110,37",,,,,,,,,,x,take out,#DIV/0!,0
SMO04,SMO Semarang - DC Semarang,SMO,SMO,,"Kawasan Industri Candi, Jalan gatot subroto, tahap V blok A3 no 10, Ngaliyan, Semarang",https://maps.app.goo.gl/5hjivJSMXSuis8dh9,,,,Lease,30/11/2027,"-7,01","110,34",,,,,,,,,,x,take out,#DIV/0!,0
SMO05,SMO Malang - DC Surabaya,SMO,SMO,,"Jl. Letnan Jenderal Sunandar Priyo Sudarmo no 36, Blimbing, Kec. Blimbing, Kota Malang, Jawa Timur 65126",https://maps.app.goo.gl/tnGZgAf1NHVqDqx16,,,,Lease,31/03/2026,"-7,95","112,65",,,,,,,,,,x,take out,#DIV/0!,0
SMO06,SMO Padang - DC Bukit tinggi,SMO,SMO,,"Jalan Rambun Bulan No.10, Kampung Lapai, Nanggalo, Padang City, West Sumatra 25173",https://maps.app.goo.gl/dyCJ9bdiF9JdsFBZ6,,,,Own,,"-0,91","100,36",,,,,,,,,,x,take out,#DIV/0!,0
DC_ECOM_MND,DC ECOMMERCE MANADO,DC,FC,ACTIVE,"Ruko Boulevard, Jalan Pierre Tendean No.110, Sario Tumpaan, Sario, Manado City, North Sulawesi",https://maps.app.goo.gl/v3JkXBHQWBnRpSXC9,,,,Lease,,"1,491","124,837",51682,15,,,,,,,,v,,#DIV/0!,15
DC_ECOM_BDG,DC ECOMMERCE BANDUNG,DC,FC,ACTIVE,"Jl. Mengger sebrang (gudang ninja express No.121), Sukapura, Kec. Dayeuhkolot, Kabupaten Bandung, Jawa Barat 40267",https://maps.app.goo.gl/HYeE7ouhgciv319a9?g_st=aw,,,,Lease,,"-6,967","107,624",25017,8,,,,,,,,v,,#DIV/0!,8
DC_ECOM_SBI,DC ECOMMERCE SUKABUMI,DC,FC,ACTIVE,"Jl. Sejahtera, RT 002, RW 020. dayeuhluhur, Kec. Warudoyong, Sukabumi Regency, Jawa barat 43134",https://maps.app.goo.gl/Ug7K1u9g1G2wcP6Y7,,,,Lease,,"-6,943","106,912",20641,6,,,,,,,,v,,#DIV/0!,6
DC_ECOM_TSK,DC ECOMMERCE TASIKMALAYA,DC,FC,ACTIVE,"Jl. Mangkubumi-Indihiang (Blok Cirapuh, Nangkerok, dan Wangkelang), Kp. Sukmamaju, RT. 004, RW 016, Kelurahan Sukamaju Kidul, Kecamatan Indihiang, Tasikmalaya, Jawa Barat, 46151 Gmaps : https://goo.gl/maps/t4ZYEA16Q7VPWv7f8",https://share.google/qGvadaFSCpMJY0akV,,,,Lease,,"-7,29","108,189",18333,6,,,,,,,,v,,#DIV/0!,6
DC_ECOM_PWT,DC ECOMMERCE PURWOKERTO,DC,FC,ACTIVE,Jalan Sultan Agung RT 003 RW 002 No.28 Desa Karangrau Sokaraja Kecamatan Sokaraja Kabupaten Banyumas 53181,https://maps.app.goo.gl/c9WA6jMw5AzdTGq9A?g_st=aw,,,,Lease,,"-7,45","109,26",10501,4,,,,,,,,v,,#DIV/0!,4
DC_ECOM_SMR,DC ECOMMERCE SEMARANG,DC,FC,ACTIVE,"Kawasan Industri Candi, Jalan gatot subroto, tahap V blok A3 no 30, Ngaliyan, Semarang",https://maps.app.goo.gl/tMdzKh7WXyAWet2P6,,,,Lease,,"-7,013","110,341",11211,4,,,,,,,,v,,#DIV/0!,4
DC_ECOM_JBR,DC ECOMMERCE JEMBER,DC,FC,ACTIVE,Jalan Wolter Monginsidi No. 167 - 169 Kelurahan Kranjingan Kecamatan Sumbersari Kabupaten Jember Provinsi 68123,https://maps.app.goo.gl/i9zGxcsAFcxRZ8ak9,,,,Lease,,"-8,213","113,713",10833,4,,,,,,,,v,,#DIV/0!,4
D01,DC JAKARTA,DC,,INACTIVE,"Jl. Palem VIII No. 47, Petukangan Selatan, Pesanggrahan, Jakarta Selatan",,,,,Own,,"-6,22","106,76",,,,PESANGGRAHAN,JAKARTA,DKI JAKARTA,,,"2 Oct, 2018, 02:19",,,,
D13,DC YOGYAKARTA,DC,,INACTIVE,"Jalan Parangtritis KM. 5,6 Pandes Panggungharjo Kec. Sewon Kabupaten Bantul",,,,,,,"-7,84","110,36",,,,MERGANGSAN,YOGYAKARTA,YOGYAKARTA,,,"2 Oct, 2018, 02:20",,,,
D15,DC MALANG,DC,,INACTIVE,Jalan Singosari No 123 Kelurahan Pagentan Kecamatan Singosari,,,,,,,"-7,9","112,66",,,,BLIMBING,MALANG,JAWA TIMUR,,,"2 Oct, 2018, 02:20",,,,
D29,DC TEGAL,DC,,INACTIVE,"Jalan Rumkit No. 9, Tegal Wangi, RT 21/06, Talang, Tegal",,,,,,,"-6,9","109,12",,,,,,,,,"2 Oct, 2018, 02:20",,,,
D08,DC BEKASI,DC,,INACTIVE,"Jalan KUD Setu-Serang RT 01, RW 01 Desa Telajung, Kec. Cikarang Barat Kab. Bekasi 17520",https://maps.app.goo.gl/7wbdCPt87hmnE72dA,,,,,,"-6,34","107,05",,,,CIKARANG BARAT,CIKARANG,JAWA BARAT,,,"2 Oct, 2018, 02:20",,,,
